document_id,standard_id,standard_number,search_text
DOC-31E6019F5FB346FA,MSV1-31E6019F5FB346FA,IS 18565 (Part 1):2024,"Standard Number: IS 18565 (Part 1):2024
Title: Geographic information - Data quality Part 1 General requirements
Type: Code of Practice
Degree of Equivalence: Identical under dual numbering"
DOC-717A5DEE1B44ACC0,MSV1-717A5DEE1B44ACC0,IS 1448 (Part 127):2024,"Standard Number: IS 1448 (Part 127):2024
Title: PETROLEUM AND ITS PRODUCTS - METHODS OF TEST PART 127 DETERMINATION OF IRON IN PETROLEUM COKE
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-A1090AFCAC8E7B27,MSV1-A1090AFCAC8E7B27,IS 5062 (Part 7):2024,"Standard Number: IS 5062 (Part 7):2024
Title: Brown coals and lignites - Methods of test : Part 7 determination of humic acids (First Revision)
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-7EEE44F67A86FE91,MSV1-7EEE44F67A86FE91,IS 6241:2024,"Standard Number: IS 6241:2024
Title: Determination of stripping value of road aggregates - Method of test (First Revision)
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-E81B14B47ED5A341,MSV1-E81B14B47ED5A341,IS 7190 (Part 1):2024,"Standard Number: IS 7190 (Part 1):2024
Title: Coke - Methods of test : Part 1 determination of bulk density in a small container (Second Revision)
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-AFED938B4FAA6526,MSV1-AFED938B4FAA6526,IS 11203:2024,"Standard Number: IS 11203:2024
Title: Coding of machine - Readable characters MICR And OCR for information processing (First Revision)
Type: Code of Practice
Degree of Equivalence: Identical under dual numbering"
DOC-207564099B2399B2,MSV1-207564099B2399B2,IS 14990 (Part 1):2024,"Standard Number: IS 14990 (Part 1):2024
Title: Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 1: Introduction and General Model Third Revision
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-E41C6E14E224A98D,MSV1-E41C6E14E224A98D,IS 14990 (Part 2):2024,"Standard Number: IS 14990 (Part 2):2024
Title: Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 2: Security Functional Components (Third Revision)
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-BCD9F3EEE17224A2,MSV1-BCD9F3EEE17224A2,IS 14990 (Part 3):2024,"Standard Number: IS 14990 (Part 3):2024
Title: Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 3: Security Assurance Components (Third Revision)
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-B8F5DF85FAA46A5B,MSV1-B8F5DF85FAA46A5B,IS 15671:2024,"Standard Number: IS 15671:2024
Title: Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security - Methodology for IT Security Evaluation (Second Revision)
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-C04F07EF31F1FEAC,MSV1-C04F07EF31F1FEAC,IS/IEC 60068 (Part 3/Sec 1):2023,"Standard Number: IS/IEC 60068 (Part 3/Sec 1):2023
Title: Environmental testing Part 3 Supporting documentation and guidance section -1: Cold and dry heat tests
Type: Methods of Tests
Degree of Equivalence: Identical under single numbering"
DOC-C781CFCFCE314A39,MSV1-C781CFCFCE314A39,IS/IEC 60068 (Part 3/Sec 4):2023,"Standard Number: IS/IEC 60068 (Part 3/Sec 4):2023
Title: Environmental testing Part 3 Supporting documentation and guidance Section - 4: Damp heat tests First Revision
Type: Methods of Tests
Degree of Equivalence: Identical under single numbering"
DOC-1E67ABECB15ECAB1,MSV1-1E67ABECB15ECAB1,IS/IEC 61850 (Part 5):2022,"Standard Number: IS/IEC 61850 (Part 5):2022
Title: Communication networks and systems for power utility automation Part 5: Communication requirements for functions and device models First Revision
Type: Code of Practice
Degree of Equivalence: Identical under single numbering"
DOC-E21653F45D11ABCE,MSV1-E21653F45D11ABCE,IS/IEC/TS 61970 (Part 401):2022,"Standard Number: IS/IEC/TS 61970 (Part 401):2022
Title: Energy management system application program interface EMS-API Part 401: Profile framework First Revision
Type: Code of Practice
Degree of Equivalence: Identical under single numbering"
DOC-58DDAFA76A327814,MSV1-58DDAFA76A327814,IS/IEC 62351 (Part 3):2023,"Standard Number: IS/IEC 62351 (Part 3):2023
Title: Power systems management and associated information exchange - Data and communications security - Part 3: Communication network and system security - Profiles including TCPIP (Third Revision)
Type: Code of Practice
Degree of Equivalence: Identical under single numbering"
DOC-A7FE3140C966D1C3,MSV1-A7FE3140C966D1C3,IS/IEC/TS 62351 (Part 5):2023,"Standard Number: IS/IEC/TS 62351 (Part 5):2023
Title: Power systems management and associated information exchange Data and communications security Part 5: Security for IEC 60870-5 and derivatives Second Revision
Type: Code of Practice
Degree of Equivalence: Identical under single numbering"
DOC-5205729F18C18148,MSV1-5205729F18C18148,IS/IEC/TR 62351 (Part 90/Sec 3):2021,"Standard Number: IS/IEC/TR 62351 (Part 90/Sec 3):2021
Title: Power systems management and associated information exchange - Part 90 Data and communications security - -Section 3: Guidelines for network and system management
Type: Code of Practice
Degree of Equivalence: Identical under single numbering"
DOC-EB00819C9805168E,MSV1-EB00819C9805168E,IS/IEC/TS 62351 (Part 100/Sec 6):2022,"Standard Number: IS/IEC/TS 62351 (Part 100/Sec 6):2022
Title: Power systems management and associated information exchange - Part 100: Data and communication security Section 6: Cybersecurity conformance testing for IEC 61850-8-1 and IEC 61850-9-2
Type: Code of Practice
Degree of Equivalence: Identical under single numbering"
DOC-4CDE5C39D67EEFDA,MSV1-4CDE5C39D67EEFDA,IS 14990 (Part 4):2024,"Standard Number: IS 14990 (Part 4):2024
Title: Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 4: Framework for the Specification of Evaluation Methods and Activities
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-CF4E1590BB1890E9,MSV1-CF4E1590BB1890E9,IS 14990 (Part 5):2024,"Standard Number: IS 14990 (Part 5):2024
Title: Information Security, Cybersecurity and Privacy Protection - Evaluation Criteria for IT Security Part 5: Pre-defined Packages of Security Requirements
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-B770902F820726A1,MSV1-B770902F820726A1,IS 18557 (Part 1):2024,"Standard Number: IS 18557 (Part 1):2024
Title: Solid biofuels - Determination of mechanical durability of pellets and briquettes : Part 1 pellets
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-52E157BB83270C61,MSV1-52E157BB83270C61,IS 18557 (Part 2):2024,"Standard Number: IS 18557 (Part 2):2024
Title: Solid biofuels - Determination of mechanical durability of pellets and briquettes : Part 2 briquettes
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-577667C41AF5C1B8,MSV1-577667C41AF5C1B8,IS 3531:2024,"Standard Number: IS 3531:2024
Title: Corrosion of metals and alloys - Vocabulary
Type: Terminology
Degree of Equivalence: Identical under dual numbering"
DOC-1E71BBD4D8AA599C,MSV1-1E71BBD4D8AA599C,IS 13581:2024,"Standard Number: IS 13581:2024
Title: Agricultural wheeled tractors - operators seat - laboratory measurement of transmitted vibration (First revision)
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-680CC625668DC535,MSV1-680CC625668DC535,IS 17003 (Part 6):2024,"Standard Number: IS 17003 (Part 6):2024
Title: Nanotechnologies Vocabulary Part 6: Nano-object characterization
Type: Terminology
Degree of Equivalence: Identical under dual numbering"
DOC-EF9EFF1AA3D781F6,MSV1-EF9EFF1AA3D781F6,IS/ISO 8000 (Part 1):2022,"Standard Number: IS/ISO 8000 (Part 1):2022
Title: Data Quality Part 1: Overview
Type: Terminology
Degree of Equivalence: Identical under single numbering"
DOC-14CF0359BF2FA21A,MSV1-14CF0359BF2FA21A,IS 1060 (Part 5/Sec 17):2024,"Standard Number: IS 1060 (Part 5/Sec 17):2024
Title: Methods of Sampling and Test for Paper and Allied Products Part 5 Methods of Test for Paper and Board Section 17 Determination of roughnesssmoothness air leak methods Print-surf method
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-D3659C3A2448CBA1,MSV1-D3659C3A2448CBA1,IS 1060 (Part 5/Sec 19):2024,"Standard Number: IS 1060 (Part 5/Sec 19):2024
Title: Methods of Sampling and Test for Paper and Allied Products Part 5 Methods of Test for Paper and Board Section 19 Determination of CIE whiteness C2 Indoor illumination conditions
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-F42B21E4BF9BA428,MSV1-F42B21E4BF9BA428,IS 1060 (Part 6/Sec 2):2024,"Standard Number: IS 1060 (Part 6/Sec 2):2024
Title: Methods of Sampling and Test for Paper and Allied Products Part 6 Methods of Test for Paper Section 2 Determination of bursting strength of paper
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-6662041E03725285,MSV1-6662041E03725285,IS 1350 (Part 4/Sec 1):2024,"Standard Number: IS 1350 (Part 4/Sec 1):2024
Title: Coal and coke - Methods of test : Part 4 ultimate analysis, Section 1 determination of carbon and hydrogen (Second Revision)
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-98B9D8D623BB26BD,MSV1-98B9D8D623BB26BD,IS 1446:2024,"Standard Number: IS 1446:2024
Title: Dangerous Goods — Classification (Third Revision)
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-3EB5679E78DC6A5A,MSV1-3EB5679E78DC6A5A,IS 3025 (Part 3):2024,"Standard Number: IS 3025 (Part 3):2024
Title: Methods of Sampling and Test (Physical and Chemical) for Water and Wastewater Part 3 Precision and Accuracy (Second Revision)
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-9BCF971FD7A62939,MSV1-9BCF971FD7A62939,IS 3025 (Part 53):2024,"Standard Number: IS 3025 (Part 53):2024
Title: Methods of Sampling and Test (Physical and Chemical) for Water and Wastewater Part 53 Iron (Second Revision)
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-29AB6D88AA9E548B,MSV1-29AB6D88AA9E548B,IS 4910 (Part 12):2024,"Standard Number: IS 4910 (Part 12):2024
Title: TYRE YARNS CORDS AND TYRE CORD FABRICS MADE FROM MAN-MADE FIBRES METHODS OF TEST PART 12 SAMPLING FOR TYRE YARNS CORDS AND TYRE CORD FABRICS MADE FROM POLYAMIDE
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-7DB0C5856245A4E7,MSV1-7DB0C5856245A4E7,IS 5508 (Part 23):2024,"Standard Number: IS 5508 (Part 23):2024
Title: Textiles - Guide for fishing gear Part 23 268 m Two seam trawl First Revision
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-23CBAD80532E9F76,MSV1-23CBAD80532E9F76,IS 6570:2024,"Standard Number: IS 6570:2024
Title: Textiles - Quantitative chemical analysis - Mixtures of jute with certain animal fibres (method by determining nitrogen content) (first revision of IS 6570)
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-C1F022780ABF2D4E,MSV1-C1F022780ABF2D4E,IS 9620:2024,"Standard Number: IS 9620:2024
Title: GUIDE FOR UNITS USED IN AIR QUALITY MEASUREMENTS
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-CD07BF42DC10B7B3,MSV1-CD07BF42DC10B7B3,IS 9679:2024,"Standard Number: IS 9679:2024
Title: Work environment monitoring (Airborne Contaminants) - Code of Practice (First Revision)
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-CEC994F550DE864A,MSV1-CEC994F550DE864A,IS 9889:2024,"Standard Number: IS 9889:2024
Title: Textiles - Quantitative chemical analysis - Mixtures of silk with wool or other animal hair (method using sulfuric acid) (Second Revision of IS 9889)
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-87C23B2FEF04C856,MSV1-87C23B2FEF04C856,IS 9896:2024,"Standard Number: IS 9896:2024
Title: Textiles - Quantitative Chemical Analysis - Mixtures of Polypropylene Fibres with Certain Other Fibres (Method Using Xylene) (First Revision of IS 9896)
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-6C4B7CBD220D199E,MSV1-6C4B7CBD220D199E,IS 9945:2024,"Standard Number: IS 9945:2024
Title: Fishing nets - Method for determination of taper ratio and cutting rate Second Revision
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-0BC7F15181162413,MSV1-0BC7F15181162413,IS 14194 (Part 3):2024,"Standard Number: IS 14194 (Part 3):2024
Title: Radionuclides in environmental samples - Method of estimation : Part 3 Uranium : Sec 1 In water sample (Second Revision)
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-95A5FCD3F7C59CCC,MSV1-95A5FCD3F7C59CCC,IS 18553:2024,"Standard Number: IS 18553:2024
Title: Textile Floor Coverings - Installation Practices General
Type: Code of Practice
Degree of Equivalence: Identical under dual numbering"
DOC-DABEA303F23DE85A,MSV1-DABEA303F23DE85A,IS 3899:2024,"Standard Number: IS 3899:2024
Title: Zineb water dispersible powder - Specification (Second Revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-FD674F70350AEA3C,MSV1-FD674F70350AEA3C,IS 9360:2024,"Standard Number: IS 9360:2024
Title: Carbofuran granules, encapsulated - Specification (first revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-2B61CF337F6978A3,MSV1-2B61CF337F6978A3,IS 12786:2024,"Standard Number: IS 12786:2024
Title: Irrigation Equipment - Polyethylene Pipes for Irrigation Laterals - Specification (First Revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-5B76B83F2EE72F12,MSV1-5B76B83F2EE72F12,IS 13428:2024,"Standard Number: IS 13428:2024
Title: PACKAGED NATURAL MINERAL WATER - SPECIFICATION Third Revision
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-66EC019AEC8D4DBF,MSV1-66EC019AEC8D4DBF,IS 14543:2024,"Standard Number: IS 14543:2024
Title: Packaged Drinking Water Other than Packaged Natural Mineral Water Specification Third Revision
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-AB9533D79CA716FF,MSV1-AB9533D79CA716FF,IS 3898:2024,"Standard Number: IS 3898:2024
Title: Zineb technical - Specification Second Revision
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-8F6CC954E91B0074,MSV1-8F6CC954E91B0074,IS 4931 (Part 1):2024,"Standard Number: IS 4931 (Part 1):2024
Title: Agricultural Tractors — Rear-Mounted Power Take-off Types 1, 2, 3 and 4 Part 1 General Specifications, Safety Requirements, Dimensions for Master Shield and Clearance Zone (ISO 500-1 : 2014, MOD) ( Fourth Revision )
Type: Dimensions
Degree of Equivalence: Modified/Technically Equivalent"
DOC-770AB6E3F8591DCB,MSV1-770AB6E3F8591DCB,IS 12502:2024,"Standard Number: IS 12502:2024
Title: Glyphosate, technical - Specification (first revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-0873580A48E62828,MSV1-0873580A48E62828,IS 1970:2024,"Standard Number: IS 1970:2024
Title: Crop protection equipment — Hand-operated compression — Knapsack sprayer — Specification (sixth revision)
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-BBC8654CFFABE997,MSV1-BBC8654CFFABE997,IS 4130:2024,"Standard Number: IS 4130:2024
Title: Demolition of Buildings - Code of Safety (Third Revision)
Type: Code of Practice
Degree of Equivalence: -"
DOC-732C47836A9DA32B,MSV1-732C47836A9DA32B,IS 4912:2024,"Standard Number: IS 4912:2024
Title: Temporary Protection of Floor and Wall Openings, Open-side Floors, Staircases and Guardrail Systems - Safety Requirements (second revision)
Type: Safety Standard
Degree of Equivalence: Indigenous"
DOC-FA3545E5759354B7,MSV1-FA3545E5759354B7,IS 10449:2024,"Standard Number: IS 10449:2024
Title: Freshwater Fish Seed and Ornamental Fish — Code for Transport ( First Revision )
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-1CEE08E02421DBD2,MSV1-1CEE08E02421DBD2,IS 18566:2024,"Standard Number: IS 18566:2024
Title: Microbiology of the food chain - Enumeration of Brochothrix spp. - Colony-count technique
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-794C90B297637C85,MSV1-794C90B297637C85,IS 8198 (Part 7):2024,"Standard Number: IS 8198 (Part 7):2024
Title: Steel Cylinders for Compressed Gases - Code of Practice Part 7 Ammonia Gas ( Second Revision )
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-8DA620D270A12C5F,MSV1-8DA620D270A12C5F,IS 8198 (Part 9):2024,"Standard Number: IS 8198 (Part 9):2024
Title: Steel Cylinders for Compressed Gases - Code of Practice Part 9 Sulphur Dioxide Gas ( Second Revision )
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-592169B4CFB4455F,MSV1-592169B4CFB4455F,IS 8198 (Part 12):2024,"Standard Number: IS 8198 (Part 12):2024
Title: Steel Cylinders for Compressed Gases - Code of Practice Part 12 Gases for Medical Use ( First Revision )
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-799D3A20755C5A9A,MSV1-799D3A20755C5A9A,IS 13477:2024,"Standard Number: IS 13477:2024
Title: Industrial Water Tube Boiler - Purchasers Datasheet (First Revision)
Type: Others
Degree of Equivalence: Indigenous"
DOC-91D030C583B42172,MSV1-91D030C583B42172,IS 14269:2024,"Standard Number: IS 14269:2024
Title: AUTOMOTIVE VEHICLES INTEGRAL POWER STEERING GEAR METHOD OF TEST (FIRST REVISION)
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-1037F84A9D3E0FEE,MSV1-1037F84A9D3E0FEE,IS 4186:2024,"Standard Number: IS 4186:2024
Title: GUIDE FOR PREPARATION OF PROJECT REPORT FOR RIVER VALLEY PROJECTS Second Revision of IS 4186
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-E6B139F68E9101F9,MSV1-E6B139F68E9101F9,IS 4410 (Part 17):2024,"Standard Number: IS 4410 (Part 17):2024
Title: River Valley Projects — Glossary of Terms Part 17 Water Requirements of Crops ( First Revision )
Type: Terminology
Degree of Equivalence: Indigenous"
DOC-5EA3B6B34943188F,MSV1-5EA3B6B34943188F,IS 6934:2024,"Standard Number: IS 6934:2024
Title: HYDRAULIC DESIGN OF OGEE OVERFLOW AND ORIFICE SPILLWAYS - RECOMMENDATIONS Third Revision
Type: Others
Degree of Equivalence: Indigenous"
DOC-0BCFD203F86F9352,MSV1-0BCFD203F86F9352,IS 10386 (Part 8):2024,"Standard Number: IS 10386 (Part 8):2024
Title: construction operation and maintenance of river valley projects — Safety code : Part 8 open excavation (first revision)
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-D86C914DE915ADB7,MSV1-D86C914DE915ADB7,IS 13218 (Part 2):2024,"Standard Number: IS 13218 (Part 2):2024
Title: REPORTING PROGRESS DURING CONSTRUCTION FOR RIVER VALLEY PROJECTS — PROFORMA PART 2 HYDEL WORKS First Revision of IS 13218 Part 2
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-58DF9E79186A1E18,MSV1-58DF9E79186A1E18,IS 14615 (Part 3):2024,"Standard Number: IS 14615 (Part 3):2024
Title: Measurement of Fluid Flow by Means of Pressure Differential Devices Inserted In Circular Cross-Section Conduits Running Full Part 3 Nozzles and Venturi Nozzles
Type: Code of Practice
Degree of Equivalence: Identical under dual numbering"
DOC-739F8B17E4A2646A,MSV1-739F8B17E4A2646A,IS 9406:2024,"Standard Number: IS 9406:2024
Title: CALCIUM SILICATE FOR RUBBER INDUSTRY — SPECIFICATION First Revision of IS 9406
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-91E3CF6243DD3F96,MSV1-91E3CF6243DD3F96,IS 236:2024,"Standard Number: IS 236:2024
Title: Textiles - Cotton fibres - Evaluation of maturity - Microscopic method second revision
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-499FC557A37E98E9,MSV1-499FC557A37E98E9,IS 1564:2024,"Standard Number: IS 1564:2024
Title: Textiles - Quantitative Chemical Analysis - Mixtures of Triacetate or Polylactide with Certain Other Fibres (Method Using Dichloromethane) (Second Revision)
Type: Code of Practice
Degree of Equivalence: Identical under single numbering"
DOC-7416E7EF89716C94,MSV1-7416E7EF89716C94,IS 1889 (Part 1):2024,"Standard Number: IS 1889 (Part 1):2024
Title: Textiles - Quantitative Chemical Analysis - Mixtures of Viscose, Cupro or Modal and Cotton Fibres (Method Using Sodium Zincate) (First Revision)
Type: Methods of Tests
Degree of Equivalence: Identical under single numbering"
DOC-A422790C8CC3465B,MSV1-A422790C8CC3465B,IS 1954:2024,"Standard Number: IS 1954:2024
Title: Textiles - Fabrics - Determination of width and length third revision
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-31D74D8820DBC3E4,MSV1-31D74D8820DBC3E4,IS 2005:2024,"Standard Number: IS 2005:2024
Title: Textiles - Quantitative Chemical Analysis - Mixtures of Polyamide with Certain Other Fibres (Method Using Formic Acid) (Second Revision)
Type: Methods of Tests
Degree of Equivalence: Identical under single numbering"
DOC-833F34A73208826B,MSV1-833F34A73208826B,IS 2177:2024,"Standard Number: IS 2177:2024
Title: Textiles - Quantitative Chemical Analysis - Mixtures of Acetate and Triacetate Fibres (Method Using Acetone) (Second Revision)
Type: Methods of Tests
Degree of Equivalence: Identical under single numbering"
DOC-1374183292DB273D,MSV1-1374183292DB273D,IS 3416:2024,"Standard Number: IS 3416:2024
Title: Textiles — Quantitative Chemical Analysis — Mixtures of Certain Cellulose Fibres with Certain Other Fibres (Method Using Sulphuric Acid) (Third Revision)
Type: Methods of Tests
Degree of Equivalence: Identical under single numbering"
DOC-236E0165D20545EB,MSV1-236E0165D20545EB,IS 3421:2024,"Standard Number: IS 3421:2024
Title: Textiles - Quantitative Chemical Analysis - Mixtures of Certain Cellulose Fibres with Certain Other Fibres (Method Using Sulfuric Acid) (Second Revision)
Type: Methods of Tests
Degree of Equivalence: Identical under single numbering"
DOC-574E56E97AE3699D,MSV1-574E56E97AE3699D,IS 4575:2024,"Standard Number: IS 4575:2024
Title: Textiles - Code for handling of fibre ropes Third Revision
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-1BA4FB281572E84A,MSV1-1BA4FB281572E84A,IS 4681 (Part 1):2024,"Standard Number: IS 4681 (Part 1):2024
Title: Textiles - Determination of the recovery from creasing of a folded specimen of fabric by measuring the angle of recovery Part 1 Method of the horizontally folded specimen second revision
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-F7A4B7BB0D867F23,MSV1-F7A4B7BB0D867F23,IS 4910 (Part 11):2024,"Standard Number: IS 4910 (Part 11):2024
Title: TYRE YARNS CORDS AND TYRE CORD FABRICS MADE FROM MAN-MADE FIBRES METHODS OF TEST PART 11 COMMERCIAL MASS
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-99A147759D358064,MSV1-99A147759D358064,IS 5508 (Part 22):2023,"Standard Number: IS 5508 (Part 22):2023
Title: Textiles - Guide for fishing gear Part 22 datasheets for troll line first revision
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-B9DBFD3A9D0FE036,MSV1-B9DBFD3A9D0FE036,IS 5508 (Part 24):2024,"Standard Number: IS 5508 (Part 24):2024
Title: Textiles — Fishing Gear — Guide Part 24 37.1 Metre Butterfly Trawl (
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-7FB882BCB50C2C6F,MSV1-7FB882BCB50C2C6F,IS 5815 (Part 8):2024,"Standard Number: IS 5815 (Part 8):2024
Title: Textiles - Fishing gear materials - Methods of test Part 8 Determination of sinking speed First Revision
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-6D7F1810DF400125,MSV1-6D7F1810DF400125,IS 5815 (Part 9):2024,"Standard Number: IS 5815 (Part 9):2024
Title: Textiles - Fishing gear materials - Methods of test Part 9 Determination of weathering resistance First Revision
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-B5A5B0C17EE81998,MSV1-B5A5B0C17EE81998,IS 17473:2024,"Standard Number: IS 17473:2024
Title: Laminate Floor Coverings - Determination of Abrasion Resistance
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-C35C5657984C5447,MSV1-C35C5657984C5447,IS 10377:2024,"Standard Number: IS 10377:2024
Title: Specification for para-Phenylenediamine
Type: Product Specification
Degree of Equivalence: Indigenous"
DOC-07095E629428D2CF,MSV1-07095E629428D2CF,IS 1893 (Part 4):2024,"Standard Number: IS 1893 (Part 4):2024
Title: Criteria For Earthquake Resistant Design of Structures Part 4 Industrial Structures Including Stack- Like Structures (Second Revision)
Type: Others
Degree of Equivalence: Indigenous"
DOC-858E796005AC97C4,MSV1-858E796005AC97C4,IS 2450:2024,"Standard Number: IS 2450:2024
Title: Electroplating on Aluminium and its Alloys -Recommended Practice
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-B79C178CBB9490EB,MSV1-B79C178CBB9490EB,IS 3088:2024,"Standard Number: IS 3088:2024
Title: Assaying of fine grade palladium -Method (First Revision)
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-C8979B42D46EF85D,MSV1-C8979B42D46EF85D,IS 5454:2024,"Standard Number: IS 5454:2024
Title: Burnt Clay Bricks and Burnt Clay Tiles - Methods of Sampling
Type: Others
Degree of Equivalence: Indigenous"
DOC-D606D109D87B8064,MSV1-D606D109D87B8064,IS 5461:2024,"Standard Number: IS 5461:2024
Title: Metallic powders - Determination of particle size by dry sieving ( Second Revision )
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-DEC0D74DFD21897E,MSV1-DEC0D74DFD21897E,IS 5842:2024,"Standard Number: IS 5842:2024
Title: MEASURING BULK DENSITY OF IRON OXIDES: LUMP ORES SINTER AND PELLETS - METHOD
Type: Methods of Tests
Degree of Equivalence: Not Equivalent"
DOC-5E0D2AD31DF4E650,MSV1-5E0D2AD31DF4E650,IS 9925:2024,"Standard Number: IS 9925:2024
Title: Determination of Gold and Silver in Gold and Silver Thread and Embroidery Materials - Method (First Revision)
Type: Methods of Tests
Degree of Equivalence: Indigenous"
DOC-CBC9793616D0FAC3,MSV1-CBC9793616D0FAC3,IS 10317:2024,"Standard Number: IS 10317:2024
Title: Evaluation of Soil Properties Relevant to Irrigation - Guide (first revision)
Type: Code of Practice
Degree of Equivalence: Indigenous"
DOC-10C4ECCB31E2CD24,MSV1-10C4ECCB31E2CD24,IS 15635 (Part 5):2024,"Standard Number: IS 15635 (Part 5):2024
Title: Geometrical product specification (GPS)-- Acceptance and reverification tests for coordinate measuring systems CMS: Part 5 CMMs using single and multiple stylus contacting probing systems using discrete point and/or scanning measuring mode (second revision)
Type: Methods of Tests
Degree of Equivalence: Identical under dual numbering"
DOC-4CABB21F6B824C45,MSV1-4CABB21F6B824C45,IS/ISO 8000 (Part 8):2015,"Standard Number: IS/ISO 8000 (Part 8):2015
Title: Data Quality Part 8: Information and data quality: Concepts and measuring
Type: Methods of Tests
Degree of Equivalence: Identical under single numbering"
DOC-D9493FDFBC7036BC,MSV1-D9493FDFBC7036BC,IS/ISO 8000 (Part 61):2016,"Standard Number: IS/ISO 8000 (Part 61):2016
Title: Data Quality Part 61: Data quality management: Process reference model
Type: Methods of Tests
Degree of Equivalence: Identical under single numbering"
DOC-ADC6E1EBA1838801,MSV1-ADC6E1EBA1838801,IS/ISO 8000 (Part 63):2019,"Standard Number: IS/ISO 8000 (Part 63):2019
Title: Data Quality Part 63: Data quality management: Process measurement
Type: Methods of Tests
Degree of Equivalence: Identical under single numbering"
DOC-DADD6A46D9ECBEFB,MSV1-DADD6A46D9ECBEFB,IS/ISO 8000 (Part 64):2022,"Standard Number: IS/ISO 8000 (Part 64):2022
Title: Data Quality Part 64: Data quality management: Organizational process maturity assessment: Application of the Test Process Improvement method
Type: Methods of Tests
Degree of Equivalence: Identical under single numbering"
